code_postal,geocode_text,lon,lat
G7A4S2,"G7A4S2, Canada",-71.3750034,46.6989325
G2E4E8,"G2E4E8, Canada",-71.3843222,46.8108256
G1G1A6,"G1G1A6, Canada",-71.2898462,46.8915924
G3L2J6,"G3L2J6, Canada",-71.791293,46.8597224
G1X2N1,"G1X2N1, Canada",-71.30774509999999,46.7746822
G3K2S9,"G3K2S9, Canada",-71.41974549999999,46.8540467
G3A1W8,"G3A1W8, Canada",-71.5100058,46.7718748
J0C1C0,"J0C1C0, Canada",-72.6554591,45.9712778
G1L2W9,"G1L2W9, Canada",-71.22871839999999,46.825589
G0A3K0,"G0A3K0, Canada",-71.29549709999999,47.2943755
G6V9N3,"G6V9N3, Canada",-71.1001708,46.8251018
G0S2G0,"G0S2G0, Canada",-71.1424728,46.4752465
G1J1B1,"G1J1B1, Canada",-71.23230579999999,46.8489227
G2E5H3,"G2E5H3, Canada",-71.3623442,46.81378309999999
G1H1N4,"G1H1N4, Canada",-71.2468775,46.8634643
G1B1V3,"G1B1V3, Canada",-71.1936609,46.8996151
G3A2A5,"G3A2A5, Canada",-71.381249,46.7378775
G0S1M0,"G0S1M0, Canada",-71.6861332,46.4968601
G5Y4S4,"G5Y4S4, Canada",-70.6803254,46.1108188
G1X2C6,"G1X2C6, Canada",-71.3278701,46.7708022
G1C2B3,"G1C2B3, Canada",-71.1551721,46.8805144
G2B4Z8,"G2B4Z8, Canada",-71.34700339999999,46.8431519
G1G3X1,"G1G3X1, Canada",-71.2744733,46.8698601
G3N0H3,"G3N0H3, Canada",-71.6116419,46.86265
G1X2K2,"G1X2K2, Canada",-71.3172917,46.76659249999999
G1J2B4,"G1J2B4, Canada",-71.22595780000002,46.8273145
G2G1M3,"G2G1M3, Canada",-71.3638856,46.7821114
G1J4S1,"G1J4S1, Canada",-71.2226112,46.8405382
G1X4V1,"G1X4V1, Canada",-71.3697373,46.76510469999999
G3N3B4,"G3N3B4, Canada",NA,NA
G1P4J8,"G1P4J8, Canada",-71.3273407,46.8136016
G1V1Z5,"G1V1Z5, Canada",-71.2958096,46.7744659
G2G1B8,"G2G1B8, Canada",-71.36615809999999,46.7810855
G3N1Z7,"G3N1Z7, Canada",-71.61105049999999,46.8742854
G1L2H4,"G1L2H4, Canada",-71.2376383,46.8267879
G0M1K9,"G0M1K9, Canada",NA,NA
G2E5Y3,"G2E5Y3, Canada",-71.345371599999993,46.8136654
G3K2A5,"G3K2A5, Canada",-71.41021049999999,46.85127199999999
G3E1K4,"G3E1K4, Canada",-71.34189769999999,46.8667394
G1J3L7,"G1J3L7, Canada",-71.22303889999999,46.8261142
G3K1C6,"G3K1C6, Canada",-71.4275868,46.842908
G2G1M2,"G2G1M2, Canada",-71.3617774,46.782226
G2G0E5,"G2G0E5, Canada",-71.3907134,46.7691008
G1W1L7,"G1W1L7, Canada",-71.2902957,46.7592954
G3G1K5,"G3G1K5, Canada",-71.3714402,46.9087194
G1C0M2,"G1C0M2, Canada",NA,NA
G0S1Z0,"G0S1Z0, Canada",-71.4514542,46.5274762
G1T2V3,"G1T2V3, Canada",-71.2705579,46.76026
G2B3X1,"G2B3X1, Canada",-71.3538493,46.83921309999999
G2A1H2,"G2A1H2, Canada",-71.3637717,46.8603128
G3S0G2,"G3S0G2, Canada",NA,NA
G2A4H1,"G2A4H1, Canada",-71.3824924,46.8473216
G6X1C5,"G6X1C5, Canada",-71.2765368,46.72154640000001
G1R2C9,"G1R2C9, Canada",-71.2259481,46.8024041
G3K0H3,"G3K0H3, Canada",-71.4186861,46.84439150000001
G1L1C2,"G1L1C2, Canada",-71.2523582,46.8374304
G1Y1M7,"G1Y1M7, Canada",-71.3423675,46.7583846
G2E4X6,"G2E4X6, Canada",-71.3783229,46.8093474
G1S3A4,"G1S3A4, Canada",-71.237383,46.8008976
G6W2A3,"G6W2A3, Canada",-71.2690695,46.74483379999999
G1K2W2,"G1K2W2, Canada",-71.227882,46.8138533
G3A2S5,"G3A2S5, Canada",-71.470289,46.7405404
G6X2L4,"G6X2L4, Canada",-71.2545287,46.723215
G1W2W1,"G1W2W1, Canada",-71.31127719999999,46.75681669999999
G0A2R0,"G0A2R0, Canada",-71.6391426,46.7183523
G1G0J3,"G1G0J3, Canada",-71.2838859,46.876715
G1W1S1,"G1W1S1, Canada",-71.3044259,46.7539392
G1Y2B5,"G1Y2B5, Canada",-71.35097170000002,46.7534998
G1E0E2,"G1E0E2, Canada",-71.1987269,46.860614
G3L2N2,"G3L2N2, Canada",-71.7958067,46.8460699
G1G5J7,"G1G5J7, Canada",-71.2870835,46.8657987
G1Y3V1,"G1Y3V1, Canada",-71.3503487,46.7630922
G1J3A2,"G1J3A2, Canada",-71.2249992,46.8245665
G1X3B6,"G1X3B6, Canada",-71.3220609,46.77404689999999
G6Z7Y1,"G6Z7Y1, Canada",NA,NA
G1P1E8,"G1P1E8, Canada",-71.3209873,46.8159752
G1N3J8,"G1N3J8, Canada",-71.2451695,46.8063283
G2G2L1,"G2G2L1, Canada",-71.3577322,46.7791979
G1J2R9,"G1J2R9, Canada",-71.224992,46.82574040000001
G2E2E1,"G2E2E1, Canada",-71.3365136,46.804892100000004
G1W2T3,"G1W2T3, Canada",-71.3077784,46.7599804
G3B2C2,"G3B2C2, Canada",-71.3210035,46.9423231
G1X4V7,"G1X4V7, Canada",-71.3353387,46.7599372
G7A4B7,"G7A4B7, Canada",-71.3380435,46.7113009
G0X3K0,"G0X3K0, Canada",-72.41504739999999,46.4856655
G1E5W3,"G1E5W3, Canada",-71.1765451,46.864856
G2B2V8,"G2B2V8, Canada",-71.3534244,46.8512058
G2E6L9,"G2E6L9, Canada",-71.3582703,46.8201438
G1K8P6,"G1K8P6, Canada",NA,NA
G1J4Z3,"G1J4Z3, Canada",-71.2173658,46.8405887
G2E6K5,"G2E6K5, Canada",-71.35562449999999,46.81821069999999
G5Z2C4,"G5Z2C4, Canada",NA,NA
G2G0B3,"G2G0B3, Canada",-71.43334709999999,46.8028539
G3A1N7,"G3A1N7, Canada",-71.44844979999999,46.7345407
G2E6G4,"G2E6G4, Canada",-71.35409709999999,46.817797
G7A2A8,"G7A2A8, Canada",-71.3551846,46.6902859
G3C5C2,"G3C5C2, Canada",-71.3992319,46.9678514
G6V8L3,"G6V8L3, Canada",-71.1444875,46.81902669999999
G2G2B4,"G2G2B4, Canada",-71.3504117,46.7873543
G1W4X9,"G1W4X9, Canada",-71.3048792,46.76825220000001
G1Y3L7,"G1Y3L7, Canada",-71.3581138,46.75861250000001
G3K0S9,"G3K0S9, Canada",NA,NA
G1Y1G9,"G1Y1G9, Canada",-71.3553985,46.7636298
G3L4L2,"G3L4L2, Canada",-71.78009589999999,46.826339
G2G1L2,"G2G1L2, Canada",-71.3850411,46.7662314
G3A1E9,"G3A1E9, Canada",-71.3858465,46.74592
G3A2B3,"G3A2B3, Canada",-71.3791949,46.7392517
G6J1E8,"G6J1E8, Canada",-71.3049817,46.6274933
G7A3L6,"G7A3L6, Canada",-71.293825,46.7319741
G1Y3P4,"G1Y3P4, Canada",-71.3554276,46.7442421
G1E4L5,"G1E4L5, Canada",-71.2059191,46.8560474
G1P0B4,"G1P0B4, Canada",NA,NA
G2E6K3,"G2E6K3, Canada",-71.3624433,46.7962664
G0S2W0,"G0S2W0, Canada",-71.2484194,46.5730083
G3G2Z1,"G3G2Z1, Canada",-71.3711063,46.8869418
G1G0H4,"G1G0H4, Canada",-71.2838859,46.876715
G6V1B8,"G6V1B8, Canada",-71.17386139999999,46.8206587
G3N0X9,"G3N0X9, Canada",-71.6196314,46.8407943
G1X3T5,"G1X3T5, Canada",-71.3339343,46.7676787
G1C4Y8,"G1C4Y8, Canada",-71.1667231,46.8898559
G3H0E6,"G3H0E6, Canada",-71.6882122,46.7546553
G3E0E3,"G3E0E3, Canada",NA,NA
G1J3A5,"G1J3A5, Canada",-71.2261027,46.82577209999999
G1J4W8,"G1J4W8, Canada",-71.2168786,46.8383116
G0R1H0,"G0R1H0, Canada",-70.4115557,46.9998558
G3E1C4,"G3E1C4, Canada",-71.3318769,46.8658344
G3K0T3,"G3K0T3, Canada",NA,NA
G2C1H9,"G2C1H9, Canada",-71.3244394,46.8307324
G6Z2V5,"G6Z2V5, Canada",-71.2024466,46.7308786
G6X2H8,"G6X2H8, Canada",-71.2559417,46.7193111
G1J2V4,"G1J2V4, Canada",-71.22210729999999,46.82341
G3A0A4,"G3A0A4, Canada",-71.44230209999999,46.7339796
G3A2K9,"G3A2K9, Canada",-71.4556218,46.73558540000001
G1P2S3,"G1P2S3, Canada",-71.2997417,46.8163042
G6C1A6,"G6C1A6, Canada",-71.1111286,46.7489652
G3A2S9,"G3A2S9, Canada",-71.4709094,46.743301
G1S3B1,"G1S3B1, Canada",-71.2333517,46.7981783
G1X2N5,"G1X2N5, Canada",-71.3158315,46.7807419
G2L1A5,"G2L1A5, Canada",-71.2678044,46.8948465
G1S1C7,"G1S1C7, Canada",-71.2422517,46.7922489
G1Y1Y8,"G1Y1Y8, Canada",-71.3578855,46.7629536
G1B1R7,"G1B1R7, Canada",-71.1980677,46.8984805
G1G6E7,"G1G6E7, Canada",-71.2821061,46.8938138
G1B3W6,"G1B3W6, Canada",-71.1969795,46.91305
G2B3T2,"G2B3T2, Canada",-71.3718694,46.8351181
G1B2M3,"G1B2M3, Canada",-71.2038367,46.9028345
G0A1H0,"G0A1H0, Canada",-71.14745719999999,46.9012508
G1W2A3,"G1W2A3, Canada",-71.2748358,46.7589499
G1P1R9,"G1P1R9, Canada",-71.3251141,46.8158882
G1S3N3,"G1S3N3, Canada",-71.24919899999999,46.79616619999999
G1X1B4,"G1X1B4, Canada",-71.3215633,46.7806136
G2B4G3,"G2B4G3, Canada",-71.34840129999999,46.8465994
G0A3B0,"G0A3B0, Canada",-72.08288399999999,46.7609417
G2K0J7,"G2K0J7, Canada",NA,NA
G3K1B3,"G3K1B3, Canada",-71.4269458,46.8324642
G1T0A7,"G1T0A7, Canada",NA,NA
G0S2A0,"G0S2A0, Canada",-71.381514,46.3764937
G2E2Z5,"G2E2Z5, Canada",-71.35495089999999,46.7976661
G1R2J1,"G1R2J1, Canada",-71.2209687,46.8040653
G6Z8M9,"G6Z8M9, Canada",NA,NA
G1L1E6,"G1L1E6, Canada",-71.2551055,46.8353883
G1V1T4,"G1V1T4, Canada",-71.285963,46.7841487
G3B0C1,"G3B0C1, Canada",-71.29861079999999,46.9881426
G3S1H9,"G3S1H9, Canada",NA,NA
G3K0R2,"G3K0R2, Canada",NA,NA
G3A1B9,"G3A1B9, Canada",-71.3775715,46.7525032
G6J1B8,"G6J1B8, Canada",-71.3268331,46.65833720000001
G2L2Y8,"G2L2Y8, Canada",-71.2516426,46.88011059999999
G1T1A5,"G1T1A5, Canada",-71.2611314,46.7839396
G1W4X8,"G1W4X8, Canada",-71.3049036,46.7688822
G0R3E0,"G0R3E0, Canada",-71.02788559999999,46.7052986
G7A2X9,"G7A2X9, Canada",-71.2989664,46.7388629
G1C7J5,"G1C7J5, Canada",-71.2176408,46.8879163
G1P3Z4,"G1P3Z4, Canada",-71.3133848,46.7980165
G2B0P2,"G2B0P2, Canada",NA,NA
G1V1E7,"G1V1E7, Canada",-71.29276109999999,46.7881152
G6W3A5,"G6W3A5, Canada",-71.2260029,46.7545107
G1K5P8,"G1K5P8, Canada",-71.230047,46.80967769999999
G1M3V1,"G1M3V1, Canada",-71.2808948,46.8149204
G1Y3J3,"G1Y3J3, Canada",-71.35822519999999,46.75261
G1H5R1,"G1H5R1, Canada",-71.2762528,46.85174
G3H1V5,"G3H1V5, Canada",-71.6934031,46.7542629
G3A1C5,"G3A1C5, Canada",-71.3810922,46.7476224
G1S3X9,"G1S3X9, Canada",-71.24921479999999,46.7884967
G3K1J1,"G3K1J1, Canada",-71.41213139999999,46.8514377
G1W4E5,"G1W4E5, Canada",-71.3023149,46.7578845
G2G1E6,"G2G1E6, Canada",-71.3828833,46.76817579999999
G3A2L9,"G3A2L9, Canada",-71.3835362,46.7533497
G6W6R5,"G6W6R5, Canada",-71.185416,46.77837359999999
G2E1X8,"G2E1X8, Canada",-71.3582349,46.7929755
G6X1W7,"G6X1W7, Canada",-71.2705319,46.715606
G3G3G8,"G3G3G8, Canada",-71.3796101,46.8889204
G7A2A7,"G7A2A7, Canada",-71.3531095,46.6986839
G1S2R2,"G1S2R2, Canada",-71.2358536,46.8031441
G2E2T6,"G2E2T6, Canada",-71.346903,46.79905
G1P1A8,"G1P1A8, Canada",-71.32486159999999,46.8222668
G2N2L2,"G2N2L2, Canada",-71.31143840000001,46.8938268
G0A2Y0,"G0A2Y0, Canada",-71.9210981,46.7247266
G1C7P9,"G1C7P9, Canada",-71.21911589999999,46.8731071
G1H2N8,"G1H2N8, Canada",-71.2380518,46.8514644
G2B2C6,"G2B2C6, Canada",-71.3260978,46.8523211
G1Y2P2,"G1Y2P2, Canada",-71.35308549999999,46.7510408
G7A4V5,"G7A4V5, Canada",-71.47737,46.6928324
G6K1L5,"G6K1L5, Canada",-71.2957338,46.6925974
G1Y2R3,"G1Y2R3, Canada",-71.3630424,46.7536555
G1Y3S1,"G1Y3S1, Canada",-71.35485129999999,46.74742879999999
G3H0C1,"G3H0C1, Canada",-71.6834221,46.74988099999999
G1P2S7,"G1P2S7, Canada",-71.2995265,46.8159547
G3B0Z8,"G3B0Z8, Canada",-71.22987739999999,46.9642569
G1G4X6,"G1G4X6, Canada",-71.2828888,46.8643058
G1M1N7,"G1M1N7, Canada",-71.2777194,46.8109377
G1FA26,"G1FA26, Canada",NA,NA
G1R2N4,"G1R2N4, Canada",-71.22771589999999,46.8011377
G1S1B6,"G1S1B6, Canada",-71.22970510000002,46.79904759999999
G1Y3T4,"G1Y3T4, Canada",-71.3492232,46.7600871
G7A3C4,"G7A3C4, Canada",-71.29932099999999,46.73501359999999
G1L2M5,"G1L2M5, Canada",-71.2304496,46.8260393
G1H3A8,"G1H3A8, Canada",-71.24809479999999,46.85152000000001
G3K2V7,"G3K2V7, Canada",-71.4254428,46.8517905
G1Y2S3,"G1Y2S3, Canada",-71.3689091,46.7508115
G3K2C7,"G3K2C7, Canada",-71.412972,46.8498554
G1R1N4,"G1R1N4, Canada",-71.226325,46.8071668
G1W2A5,"G1W2A5, Canada",-71.27635529999999,46.7605368
G1Y2K8,"G1Y2K8, Canada",-71.3557783,46.763068
G1K2N9,"G1K2N9, Canada",-71.2290483,46.81471690000001
G1X4J4,"G1X4J4, Canada",-71.3484993,46.7671607
G1H2N1,"G1H2N1, Canada",-71.2403531,46.8495813
G0A1L0,"G0A1L0, Canada",-71.7802179,46.721647
G2A4A2,"G2A4A2, Canada",-71.3679741,46.8520876
G2C1K4,"G2C1K4, Canada",-71.3216157,46.8255568
G0A4V0,"G0A4V0, Canada",-71.3601943,46.8647392
G2G0C2,"G2G0C2, Canada",-71.3978951,46.8019139
G1Y2B2,"G1Y2B2, Canada",-71.3566301,46.7579717
G1S3Y1,"G1S3Y1, Canada",-71.25090229999999,46.789174
G1C7E6,"G1C7E6, Canada",-71.1691031,46.89850029999999
G7A3W9,"G7A3W9, Canada",-71.3391336,46.7160166
G3H0H4,"G3H0H4, Canada",NA,NA
G2B3N4,"G2B3N4, Canada",-71.36519899999999,46.8408101
G1Y2B8,"G1Y2B8, Canada",-71.35380599999999,46.7539772
G1J4V8,"G1J4V8, Canada",-71.2177751,46.8379935
G3A2W1,"G3A2W1, Canada",-71.4535971,46.74227930000001
G1B2A1,"G1B2A1, Canada",-71.1996212,46.9203279
G2L3C3,"G2L3C3, Canada",-71.2626123,46.8804776
G3H1S4,"G3H1S4, Canada",-71.7218747,46.7395175
G2L2R7,"G2L2R7, Canada",-71.2463415,46.8747427
G1K3G8,"G1K3G8, Canada",-71.22672519999999,46.8125606
G1M3K7,"G1M3K7, Canada",-71.26273119999999,46.8196796
G3S0W8,"G3S0W8, Canada",NA,NA
G2C1Z6,"G2C1Z6, Canada",-71.33671079999999,46.8276321
G1E4H5,"G1E4H5, Canada",-71.2052905,46.85264799999999
G2K1V4,"G2K1V4, Canada",-71.3022399,46.85080259999999
G2B2L3,"G2B2L3, Canada",-71.3257412,46.8496752
G7A1L2,"G7A1L2, Canada",-71.30311999999999,46.7122843
G6Z8G2,"G6Z8G2, Canada",NA,NA
G1H5G6,"G1H5G6, Canada",-71.2629692,46.8419695
G1G6C6,"G1G6C6, Canada",-71.2900811,46.89374979999999
G1J4R5,"G1J4R5, Canada",-71.2181581,46.8374316
G2L2S1,"G2L2S1, Canada",-71.2397512,46.8794294
G0A3Z0,"G0A3Z0, Canada",-71.0137841,46.87336879999999
G0S2C0,"G0S2C0, Canada",-71.5717978,46.6472613
G1X2M3,"G1X2M3, Canada",-71.3063878,46.7760179
G3A0A2,"G3A0A2, Canada",-71.442274,46.735694
G3A0A3,"G3A0A3, Canada",-71.4443509,46.734948
G1C4B1,"G1C4B1, Canada",-71.1703819,46.8761999
G1Y1Z8,"G1Y1Z8, Canada",-71.3572468,46.7595614
G1J1A6,"G1J1A6, Canada",-71.233508,46.8473238
G3B2A6,"G3B2A6, Canada",-71.31775569999999,46.9413436
G1T1L6,"G1T1L6, Canada",-71.2594999,46.7753674
G6Z2M4,"G6Z2M4, Canada",-71.2068692,46.7265468
G1W0B4,"G1W0B4, Canada",-71.3116672,46.7539106
G1G1P5,"G1G1P5, Canada",-71.2775757,46.8849695
G6C2J7,"G6C2J7, Canada",NA,NA
G1W2Z5,"G1W2Z5, Canada",-71.3031716,46.7566213
G1R2S6,"G1R2S6, Canada",-71.2252786,46.8033869
G3N2Z9,"G3N2Z9, Canada",-71.61089489999999,46.843257
G1V2T5,"G1V2T5, Canada",-71.2663604,46.7877207
G2C1R7,"G2C1R7, Canada",-71.349561,46.82901390000001
G6Z1M5,"G6Z1M5, Canada",-71.2053142,46.7169
G7A2E5,"G7A2E5, Canada",-71.388114,46.6708423
G2A4E3,"G2A4E3, Canada",-71.3916397,46.8553609
G3A0N2,"G3A0N2, Canada",NA,NA
G0A4E0,"G0A4E0, Canada",-71.06312489999999,46.8968978
G1V1H9,"G1V1H9, Canada",-71.2913715,46.7873325
G0S2P0,"G0S2P0, Canada",-71.36056359999999,46.4922929
G1Y2T1,"G1Y2T1, Canada",-71.3648544,46.7424674
G1X2W8,"G1X2W8, Canada",-71.31312969999999,46.7734004
G7A2E7,"G7A2E7, Canada",-71.36591059999999,46.67241560000001
G6V5K5,"G6V5K5, Canada",-71.17852189999999,46.8098565
G1Y1S4,"G1Y1S4, Canada",-71.3438086,46.7554211
G1L4E4,"G1L4E4, Canada",-71.2430028,46.8218999
G1Y1Y7,"G1Y1Y7, Canada",-71.3586637,46.7648052
G1P2P5,"G1P2P5, Canada",-71.3018191,46.8179081
G3J1A6,"G3J1A6, Canada",-71.4178848,46.86133359999999
G2B2Y7,"G2B2Y7, Canada",-71.35703,46.84938409999999
G2E4P8,"G2E4P8, Canada",-71.3383757,46.8061453
G1W4N1,"G1W4N1, Canada",-71.31589819999999,46.7566582
G1L2M8,"G1L2M8, Canada",-71.2289796,46.8272002
G3K1W9,"G3K1W9, Canada",-71.4517138,46.8184522
G1H4E9,"G1H4E9, Canada",-71.24200669999999,46.8519778
G6Z7G9,"G6Z7G9, Canada",NA,NA
G0S2E0,"G0S2E0, Canada",-71.5115464,46.58734889999999
G2A1L7,"G2A1L7, Canada",-71.3674448,46.8527036
G6K1E8,"G6K1E8, Canada",-71.28939609999999,46.6976198
G6W0N9,"G6W0N9, Canada",-71.2615976,46.7325678
G7A4M6,"G7A4M6, Canada",-71.40610319999999,46.7035344
G0R1C0,"G0R1C0, Canada",-70.9988773,46.8105686
G7A3G4,"G7A3G4, Canada",-71.3020628,46.7318023
G1C7X2,"G1C7X2, Canada",-71.20058949999999,46.89694710000001
G2K0J2,"G2K0J2, Canada",NA,NA
G6V7M8,"G6V7M8, Canada",-71.148996,46.818071
G1Y3P3,"G1Y3P3, Canada",-71.35269459999999,46.7462837
G2G1Z9,"G2G1Z9, Canada",-71.3614702,46.7758374
G1E5W1,"G1E5W1, Canada",-71.1771378,46.8673095
G1C6T9,"G1C6T9, Canada",-71.2185993,46.88651
G2B4R2,"G2B4R2, Canada",-71.3449029,46.84859549999999
G6E1W1,"G6E1W1, Canada",-71.012104,46.4375231
G1B3W9,"G1B3W9, Canada",-71.1981547,46.9119937
G2A319,"G2A319, Canada",NA,NA
G1Y1A2,"G1Y1A2, Canada",-71.3478524,46.7622806
G1X5A1,"G1X5A1, Canada",-71.3354382,46.7624568
G2K1G3,"G2K1G3, Canada",-71.30519939999999,46.8491082
G3E1Y6,"G3E1Y6, Canada",-71.3098996,46.8738855
G1M2N4,"G1M2N4, Canada",-71.28219969999999,46.810834
G1M2N1,"G1M2N1, Canada",-71.2881094,46.8177846
G2L1B3,"G2L1B3, Canada",-71.2728314,46.8902846
G2B0R3,"G2B0R3, Canada",NA,NA
G1K0E5,"G1K0E5, Canada",NA,NA
G1T1H1,"G1T1H1, Canada",-71.26470979999999,46.7773449
G1T1G5,"G1T1G5, Canada",-71.26638489999999,46.7777067
G1C5N6,"G1C5N6, Canada",-71.2022633,46.88185439999999
G1M1X6,"G1M1X6, Canada",-71.2592944,46.8140851
G1B3L5,"G1B3L5, Canada",-71.2093412,46.9040829
G1X4X1,"G1X4X1, Canada",-71.3348094,46.7567197
G1G4S2,"G1G4S2, Canada",-71.2895833,46.8769619
G1Y1L2,"G1Y1L2, Canada",-71.3454047,46.7588964
G1G5A9,"G1G5A9, Canada",-71.2836877,46.8614621
G6E1A5,"G6E1A5, Canada",-71.0358324,46.47366
G0S1W0,"G0S1W0, Canada",-71.2454865,46.4927634
G7A1M3,"G7A1M3, Canada",-71.3068541,46.7101018
G1X3B5,"G1X3B5, Canada",-71.326617,46.7773191
G6Z7A5,"G6Z7A5, Canada",NA,NA
G6K1M9,"G6K1M9, Canada",-71.2890256,46.69052620000001
